x_col,p_value,slope,intercept
AR_A,1.1878139998651766e-5,1.2642612407424312,-1.158364536
Sinu,0.12795309901088608,11.22032929854047,-7.957432711
W_avg_A,0.055554827,3.2594155754776004,0.6973122570874866
W_avg_measured,0.00907484,3.2307885560009932,0.797324653
Depth_avg,0.21803271378624087,-13.37480133,7.9128755776317625
Grad_straight,0.7699222310705021,-13.00051562,4.820467620568563
Grad_flow,0.5629629667979454,-27.22743703,5.213637731395786
Q_mean_sd,0.9418142848604844,0.5698285499435193,5.405782357147489
Q_max_sd,0.9039636425168549,-0.270923474,5.678161797495833
v_Qmax,0.8717881916481809,-0.162801729,4.614841703733238
f_Qmax,0.566378819,-0.338614076,4.617121461744579
Q_max_meas,0.4900259880572483,1.9747969874573772,3.732586376220338
